weapon_key,name,type,manufacturer,cost_in_credits,length,film_keys,film_count
stun_baton,Stun Baton,Melee,First Order,,0.8,the_force_awakens,1
whipcord_thrower,Whipcord Thrower,Projectile,Various,,,the_mandalorian,1
wrist_rocket,Wrist Rocket,Projectile,Various,,,the_mandalorian,1
flame_thrower,Flame Thrower,Projectile,Various,,,the_mandalorian,1
amban_phase_pulse_blaster,Amban Phase-Pulse Blaster,Blaster,Various,,1.5,the_mandalorian,1
vibro_ax,Vibro-ax,Melee,Various,,1.2,return_of_the_jedi,1
power_hammer,Power Hammer,Melee,Various,,1.0,star_wars_the_clone_wars,1
bow_rifle,Bow Rifle,Melee/Blaster,Lasat,,1.5,star_wars_rebels,1
force_lance,Force Lance,Melee,Jedi,,1.2,star_wars_the_clone_wars,1
vibrosword,Vibrosword,Melee,Various,,1.2,the_clone_wars,1
stokhli_spray_stick,Stokhli Spray Stick,Blaster,Various,,1.5,star_wars_galaxy_s_edge,1
dart_shooter,Dart Shooter,Projectile,Various,,0.2,the_mandalorian,1
energy_sling,Energy Sling,Projectile,Various,,0.8,star_wars_the_clone_wars,1
