respondent_id,has_seen_any_star_wars_film,has_seen_any_star_wars_film_binary,is_star_wars_fan,is_star_wars_fan_binary,fan_segment,total_movies_seen,movie_consumption_segment,has_complete_movie_ranking,which_character_shot_first,is_familiar_with_expanded_universe,is_familiar_with_expanded_universe_binary,is_expanded_universe_fan,is_expanded_universe_fan_binary,is_star_trek_fan,is_star_trek_fan_binary,gender,age,household_income,education,location_census_region,has_demographic_info,average_character_opinion_score
3292376985.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,yes,1.0,male,18-29,"$150,000+",some college or associate degree,east north central,1,1.3846153846153846
3292366792.0,yes,1,no,0.0,not_fan,6,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,30-44,"$0 - $24,999",high school degree,new england,1,0.5
3292339379.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,yes,1.0,male,30-44,"$50,000 - $99,999",some college or associate degree,west north central,1,1.7142857142857142
3292330840.0,yes,1,no,0.0,not_fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,18-29,,,middle atlantic,1,-1.0
3292318652.0,yes,1,no,0.0,not_fan,2,low_consumption,1,han,no,0.0,,,no,0.0,male,18-29,"$50,000 - $99,999",high school degree,mountain,1,
3292297848.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,yes,1.0,male,30-44,"$50,000 - $99,999",graduate degree,east south central,1,
3292290677.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,30-44,"$150,000+",graduate degree,east north central,1,1.4285714285714286
3292281095.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,male,18-29,"$0 - $24,999",bachelor degree,west north central,1,0.35714285714285715
3292279889.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,18-29,,some college or associate degree,pacific,1,0.5
3292264069.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,no,0.0,yes,1.0,male,30-44,"$50,000 - $99,999",bachelor degree,middle atlantic,1,0.9285714285714286
3292257520.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,yes,1.0,yes,1.0,male,30-44,"$0 - $24,999",high school degree,west north central,1,1.5
3292249492.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,male,30-44,"$100,000 - $149,999",graduate degree,middle atlantic,1,1.2142857142857142
3292222729.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,no,0.0,male,30-44,"$100,000 - $149,999",graduate degree,pacific,1,1.5714285714285714
3292221635.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,yes,1.0,no,0.0,male,18-29,"$25,000 - $49,999",bachelor degree,west north central,1,0.9285714285714286
3292218251.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,yes,1.0,male,18-29,"$150,000+",bachelor degree,pacific,1,1.4285714285714286
3292214307.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,no,0.0,no,0.0,male,18-29,"$25,000 - $49,999",high school degree,new england,1,1.0
3292210606.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,18-29,,some college or associate degree,west north central,1,1.5714285714285714
3292202220.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,18-29,"$0 - $24,999",high school degree,pacific,1,
3292189580.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,yes,1.0,male,30-44,"$50,000 - $99,999",some college or associate degree,west north central,1,0.7142857142857143
3292187343.0,yes,1,no,0.0,not_fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,male,18-29,"$50,000 - $99,999",some college or associate degree,pacific,1,0.5833333333333334
3292186608.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,yes,1.0,male,30-44,"$50,000 - $99,999",graduate degree,pacific,1,
3292178389.0,yes,1,yes,1.0,fan,4,medium_consumption,1,greedo,no,0.0,,,yes,1.0,male,18-29,"$50,000 - $99,999",bachelor degree,mountain,1,1.1428571428571428
3292176862.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,no,0.0,no,0.0,male,18-29,,high school degree,south atlantic,1,1.0714285714285714
3292173922.0,yes,1,yes,1.0,fan,6,high_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,male,30-44,"$50,000 - $99,999",some college or associate degree,west south central,1,1.6428571428571428
3292167131.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,no,0.0,no,0.0,male,18-29,"$25,000 - $49,999",high school degree,new england,1,0.8571428571428571
3292162057.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,male,18-29,"$100,000 - $149,999",some college or associate degree,mountain,1,1.1538461538461537
3292161407.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,18-29,,high school degree,west south central,1,
3292156614.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,18-29,"$150,000+",bachelor degree,west south central,1,1.5714285714285714
3292148570.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,male,18-29,"$50,000 - $99,999",graduate degree,west north central,1,0.5
3292144665.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,no,0.0,male,18-29,"$0 - $24,999",high school degree,new england,1,1.3571428571428572
3292143503.0,yes,1,no,0.0,not_fan,5,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,18-29,"$50,000 - $99,999",bachelor degree,pacific,1,0.5833333333333334
3292131636.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,no,0.0,no,0.0,male,18-29,"$150,000+",bachelor degree,pacific,1,0.6153846153846154
3292125068.0,yes,1,yes,1.0,fan,1,low_consumption,1,greedo,no,0.0,,,yes,1.0,male,30-44,"$100,000 - $149,999",graduate degree,pacific,1,-0.3333333333333333
3292120160.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,no,0.0,male,18-29,"$100,000 - $149,999",some college or associate degree,new england,1,1.5
3292103680.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,male,30-44,"$50,000 - $99,999",some college or associate degree,pacific,1,0.5
3292050153.0,yes,1,no,0.0,not_fan,6,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,18-29,"$0 - $24,999",some college or associate degree,pacific,1,0.7692307692307693
3292041365.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,yes,1.0,male,18-29,"$150,000+",some college or associate degree,east south central,1,0.8571428571428571
3292033243.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,yes,1.0,no,0.0,male,18-29,"$50,000 - $99,999",some college or associate degree,south atlantic,1,1.6428571428571428
3292031637.0,yes,1,no,0.0,not_fan,6,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,18-29,"$25,000 - $49,999",graduate degree,east south central,1,1.1818181818181819
3292008762.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,yes,1.0,male,18-29,"$25,000 - $49,999",some college or associate degree,east south central,1,0.6428571428571429
3291992352.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,30-44,"$100,000 - $149,999",graduate degree,west north central,1,1.1666666666666667
3291945498.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,male,30-44,"$50,000 - $99,999",graduate degree,west north central,1,1.0
3291940517.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,male,18-29,"$100,000 - $149,999",bachelor degree,west north central,1,0.9285714285714286
3291871486.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,no,0.0,yes,1.0,male,18-29,"$100,000 - $149,999",graduate degree,south atlantic,1,1.6428571428571428
3291778150.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,18-29,"$25,000 - $49,999",bachelor degree,middle atlantic,1,1.8571428571428572
3291766314.0,yes,1,no,0.0,not_fan,6,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,30-44,"$50,000 - $99,999",high school degree,pacific,1,1.0
3291762799.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,30-44,"$50,000 - $99,999",some college or associate degree,east north central,1,1.0
3291707153.0,yes,1,no,0.0,not_fan,2,low_consumption,1,greedo,no,0.0,,,no,0.0,male,30-44,"$50,000 - $99,999",bachelor degree,west south central,1,0.7142857142857143
3291701619.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,18-29,,bachelor degree,new england,1,0.8571428571428571
3291696391.0,yes,1,yes,1.0,fan,5,high_consumption,1,han,yes,1.0,no,0.0,no,0.0,male,30-44,"$100,000 - $149,999",bachelor degree,west north central,1,1.1428571428571428
3291684768.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,30-44,"$100,000 - $149,999",graduate degree,east north central,1,0.5714285714285714
3291669388.0,yes,1,,,unknown,0,no_movies_seen,0,,,,,,,,,,,,,0,
3291661584.0,yes,1,no,0.0,not_fan,2,low_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,> 60,"$50,000 - $99,999",some college or associate degree,south atlantic,1,0.7272727272727273
3291658046.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,30-44,,graduate degree,south atlantic,1,1.0
3291654919.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,> 60,"$50,000 - $99,999",graduate degree,east north central,1,0.7857142857142857
3291653882.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,18-29,"$50,000 - $99,999",some college or associate degree,east north central,1,
3291650311.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,male,30-44,"$25,000 - $49,999",some college or associate degree,east north central,1,1.5
3291649780.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,,,,,,0,
3291648660.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,> 60,,,west north central,1,
3291641416.0,yes,1,no,0.0,not_fan,5,high_consumption,1,greedo,yes,1.0,no,0.0,yes,1.0,male,> 60,"$100,000 - $149,999",graduate degree,east north central,1,0.46153846153846156
3291635934.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,> 60,"$25,000 - $49,999",some college or associate degree,new england,1,
3291634205.0,yes,1,no,0.0,not_fan,5,high_consumption,1,han,no,0.0,,,no,0.0,male,30-44,"$0 - $24,999",bachelor degree,pacific,1,0.07692307692307693
3291618031.0,yes,1,no,0.0,not_fan,3,medium_consumption,1,han,no,0.0,,,no,0.0,male,18-29,,bachelor degree,middle atlantic,1,0.6363636363636364
3291603688.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,18-29,"$25,000 - $49,999",,west north central,1,
3291602842.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,no,0.0,no,0.0,male,30-44,"$50,000 - $99,999",high school degree,pacific,1,0.7857142857142857
3291598188.0,yes,1,yes,1.0,fan,4,medium_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,male,> 60,"$50,000 - $99,999",high school degree,south atlantic,1,1.0
3291588139.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,male,> 60,"$50,000 - $99,999",bachelor degree,west south central,1,1.3076923076923077
3291570206.0,yes,1,,,unknown,0,no_movies_seen,0,,,,,,,,,,,,,0,
3291548852.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,male,30-44,"$50,000 - $99,999",bachelor degree,east north central,1,1.5
3291529925.0,yes,1,yes,1.0,fan,6,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,30-44,"$100,000 - $149,999",bachelor degree,middle atlantic,1,1.0
3291524547.0,yes,1,no,0.0,not_fan,3,medium_consumption,1,greedo,no,0.0,,,no,0.0,male,> 60,"$50,000 - $99,999",bachelor degree,east north central,1,2.0
3291502449.0,yes,1,yes,1.0,fan,4,medium_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,male,> 60,"$100,000 - $149,999",some college or associate degree,south atlantic,1,1.7
3291497337.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,yes,1.0,yes,1.0,male,> 60,"$150,000+",bachelor degree,south atlantic,1,0.9230769230769231
3291482197.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,30-44,"$25,000 - $49,999",graduate degree,south atlantic,1,0.7142857142857143
3291476650.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,30-44,"$25,000 - $49,999",bachelor degree,east north central,1,
3291470613.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,30-44,"$100,000 - $149,999",bachelor degree,middle atlantic,1,
3291469991.0,yes,1,,,unknown,0,no_movies_seen,0,,,,,,,,,,,,,0,
3291468155.0,yes,1,no,0.0,not_fan,3,medium_consumption,1,greedo,no,0.0,,,yes,1.0,male,> 60,"$100,000 - $149,999",some college or associate degree,pacific,1,0.5454545454545454
3291461574.0,yes,1,yes,1.0,fan,3,medium_consumption,1,han,no,0.0,,,yes,1.0,male,30-44,,bachelor degree,east north central,1,0.6666666666666666
3291455642.0,yes,1,no,0.0,not_fan,1,low_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,> 60,"$25,000 - $49,999",some college or associate degree,south atlantic,1,1.4285714285714286
3291446474.0,yes,1,no,0.0,not_fan,2,low_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,30-44,"$50,000 - $99,999",high school degree,east north central,1,1.6666666666666667
3291446275.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,male,30-44,"$50,000 - $99,999",some college or associate degree,middle atlantic,1,1.0
3291439708.0,yes,1,yes,1.0,fan,4,medium_consumption,1,greedo,yes,1.0,no,0.0,yes,1.0,female,> 60,"$50,000 - $99,999",bachelor degree,south atlantic,1,0.6363636363636364
3291439404.0,yes,1,no,0.0,not_fan,1,low_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,> 60,"$25,000 - $49,999",graduate degree,pacific,1,1.25
3291437345.0,yes,1,no,0.0,not_fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,30-44,"$50,000 - $99,999",some college or associate degree,west north central,1,1.5714285714285714
3291435787.0,yes,1,no,0.0,not_fan,3,medium_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,30-44,"$50,000 - $99,999",graduate degree,south atlantic,1,1.0714285714285714
3291435056.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,,,,,,,,0,
3291433636.0,yes,1,no,0.0,not_fan,5,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,30-44,"$25,000 - $49,999",bachelor degree,west south central,1,1.3636363636363635
3291431939.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,female,30-44,"$25,000 - $49,999",graduate degree,south atlantic,1,1.6428571428571428
3291430239.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,female,> 60,"$25,000 - $49,999",some college or associate degree,east north central,1,
3291430193.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,,,,,,,,0,
3291428174.0,yes,1,no,0.0,not_fan,3,medium_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,30-44,"$50,000 - $99,999",some college or associate degree,east north central,1,1.0
3291427761.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,female,30-44,"$50,000 - $99,999",some college or associate degree,south atlantic,1,
3291425110.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,no,0.0,yes,1.0,female,30-44,"$50,000 - $99,999",graduate degree,south atlantic,1,0.8571428571428571
3291424127.0,yes,1,yes,1.0,fan,6,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,> 60,"$25,000 - $49,999",bachelor degree,south atlantic,1,1.2307692307692308
3291424006.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,female,30-44,"$100,000 - $149,999",bachelor degree,east north central,1,
3291422637.0,yes,1,no,0.0,not_fan,3,medium_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,> 60,"$25,000 - $49,999",graduate degree,east north central,1,1.0
3291421381.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,female,> 60,"$100,000 - $149,999",some college or associate degree,south atlantic,1,
3291420030.0,yes,1,,,unknown,0,no_movies_seen,0,,,,,,,,,,,,,0,
3291410155.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,female,30-44,"$0 - $24,999",some college or associate degree,new england,1,
3291405943.0,yes,1,,,unknown,0,no_movies_seen,0,,,,,,,,,,,,,0,
3291402264.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,> 60,"$25,000 - $49,999",high school degree,east north central,1,
3291401326.0,yes,1,yes,1.0,fan,6,high_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,male,> 60,"$25,000 - $49,999",high school degree,middle atlantic,1,-0.07142857142857142
3291395512.0,yes,1,yes,1.0,fan,6,high_consumption,1,i don't understand this question,yes,1.0,no,0.0,no,0.0,female,30-44,"$50,000 - $99,999",bachelor degree,south atlantic,1,0.5714285714285714
3291394022.0,yes,1,no,0.0,not_fan,3,medium_consumption,1,han,no,0.0,,,yes,1.0,male,45-60,"$50,000 - $99,999",some college or associate degree,south atlantic,1,0.75
3291391717.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,,,,,,0,
3291391446.0,yes,1,yes,1.0,fan,2,low_consumption,1,han,no,0.0,,,yes,1.0,female,> 60,"$25,000 - $49,999",some college or associate degree,east north central,1,1.5714285714285714
3291391033.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,female,30-44,"$25,000 - $49,999",some college or associate degree,south atlantic,1,
3291390734.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,female,30-44,"$50,000 - $99,999",some college or associate degree,new england,1,
3291388906.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,female,> 60,,high school degree,mountain,1,
3291388180.0,yes,1,no,0.0,not_fan,4,medium_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,> 60,"$50,000 - $99,999",some college or associate degree,middle atlantic,1,1.2142857142857142
3291380973.0,yes,1,no,0.0,not_fan,2,low_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,female,> 60,"$25,000 - $49,999",bachelor degree,middle atlantic,1,0.9
3291378572.0,yes,1,no,0.0,not_fan,2,low_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,> 60,"$50,000 - $99,999",bachelor degree,middle atlantic,1,1.2857142857142858
3291375306.0,yes,1,no,0.0,not_fan,2,low_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,30-44,"$25,000 - $49,999",some college or associate degree,south atlantic,1,-1.1428571428571428
3291364062.0,yes,1,yes,1.0,fan,6,high_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,male,45-60,,some college or associate degree,south atlantic,1,1.5
3291345427.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,female,> 60,"$100,000 - $149,999",graduate degree,east north central,1,1.0714285714285714
3291341186.0,yes,1,,,unknown,0,no_movies_seen,0,,,,,,,,,,,,,0,
3291330710.0,yes,1,no,0.0,not_fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,male,30-44,"$0 - $24,999",some college or associate degree,east north central,1,0.9285714285714286
3291327304.0,yes,1,no,0.0,not_fan,2,low_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,30-44,"$100,000 - $149,999",some college or associate degree,south atlantic,1,0.42857142857142855
3291320154.0,yes,1,yes,1.0,fan,6,high_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,male,30-44,"$100,000 - $149,999",graduate degree,middle atlantic,1,0.5384615384615384
3291312980.0,yes,1,no,0.0,not_fan,1,low_consumption,1,han,no,0.0,,,no,0.0,female,18-29,"$0 - $24,999",high school degree,west north central,1,0.14285714285714285
3291290675.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,female,> 60,"$50,000 - $99,999",graduate degree,east north central,1,
3291288174.0,yes,1,yes,1.0,fan,3,medium_consumption,1,han,no,0.0,,,yes,1.0,female,> 60,"$50,000 - $99,999",bachelor degree,west north central,1,1.0833333333333333
3291271932.0,yes,1,no,0.0,not_fan,4,medium_consumption,1,han,no,0.0,,,no,0.0,female,30-44,"$50,000 - $99,999",bachelor degree,west north central,1,0.16666666666666666
3291267852.0,yes,1,no,0.0,not_fan,3,medium_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,male,45-60,"$100,000 - $149,999",bachelor degree,middle atlantic,1,0.7
3291262515.0,yes,1,no,0.0,not_fan,6,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,30-44,"$50,000 - $99,999",bachelor degree,west south central,1,1.4
3291233218.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,no,0.0,yes,1.0,female,30-44,,some college or associate degree,pacific,1,0.7142857142857143
3291206864.0,yes,1,no,0.0,not_fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,female,18-29,"$25,000 - $49,999",some college or associate degree,pacific,1,1.0
3291203531.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,female,18-29,"$25,000 - $49,999",bachelor degree,east north central,1,
3291184745.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,female,30-44,"$50,000 - $99,999",bachelor degree,south atlantic,1,1.8571428571428572
3291181010.0,yes,1,no,0.0,not_fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,30-44,"$0 - $24,999",graduate degree,pacific,1,-0.7142857142857143
3291159863.0,yes,1,no,0.0,not_fan,4,medium_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,female,45-60,,bachelor degree,pacific,1,0.6363636363636364
3291145258.0,yes,1,no,0.0,not_fan,2,low_consumption,1,i don't understand this question,no,0.0,,,no,0.0,female,18-29,,high school degree,pacific,1,2.0
