id,character_name,quote,source,character_key,source_film_key
50,Han Solo,Boba Fett? Boba Fett? Where?,Return of the Jedi,han_solo,return_of_the_jedi
51,Han Solo,I thought they smelled bad on the outside.,The Empire Strikes Back,han_solo,the_empire_strikes_back
52,Leia Organa,Would somebody get this big walking carpet out of my way?,A New Hope,leia_organa,a_new_hope
53,Obi-Wan Kenobi,"Strike me down, and I will become more powerful than you could possibly imagine.",A New Hope,obi_wan_kenobi,a_new_hope
54,Luke Skywalker,Your overconfidence is your weakness.,Return of the Jedi,luke_skywalker,return_of_the_jedi
55,Darth Vader,"You have failed me for the last time, Admiral.",The Empire Strikes Back,darth_vader,the_empire_strikes_back
56,Yoda,"Judge me by my size, do you?",The Empire Strikes Back,yoda,the_empire_strikes_back
57,Yoda,"Luminous beings are we, not this crude matter.",The Empire Strikes Back,yoda,the_empire_strikes_back
58,Obi-Wan Kenobi,"You were right about one thing, Master. The negotiations were short.",The Phantom Menace,obi_wan_kenobi,the_phantom_menace
59,Obi-Wan Kenobi,I will do what I must.,Revenge of the Sith,obi_wan_kenobi,revenge_of_the_sith
60,Han Solo,Who’s scruffy-looking?,The Empire Strikes Back,han_solo,the_empire_strikes_back
61,C-3PO,We seem to be made to suffer. It’s our lot in life.,A New Hope,c_3po,a_new_hope
62,Han Solo,"Good against remotes is one thing. Good against the living, that’s something else.",A New Hope,han_solo,a_new_hope
63,Han Solo,"Great, kid. Don’t get cocky.",A New Hope,han_solo,a_new_hope
64,Darth Vader,You don’t know the power of the dark side.,Return of the Jedi,darth_vader,return_of_the_jedi
65,Yoda,Wars not make one great.,The Empire Strikes Back,yoda,the_empire_strikes_back
66,Luke Skywalker,I’ve got a bad feeling about this.,Return of the Jedi,luke_skywalker,return_of_the_jedi
67,Lando Calrissian,I’ve just made a deal that will keep the Empire out of here forever.,The Empire Strikes Back,lando_calrissian,the_empire_strikes_back
68,Admiral Piett,Bounty hunters. We don’t need their scum.,The Empire Strikes Back,admiral_piett,the_empire_strikes_back
69,Obi-Wan Kenobi,That’s no moon. It’s a space station.,A New Hope,obi_wan_kenobi,a_new_hope
70,Darth Vader,The circle is now complete.,A New Hope,darth_vader,a_new_hope
71,Emperor Palpatine,"So be it, Jedi.",Return of the Jedi,emperor_palpatine,return_of_the_jedi
72,Luke Skywalker,My name is Luke Skywalker. I’m here to rescue you.,A New Hope,luke_skywalker,a_new_hope
73,Han Solo,I think I just blasted it.,A New Hope,han_solo,a_new_hope
74,Luke Skywalker,"You have failed, your highness. I am a Jedi, like my father before me.",Return of the Jedi,luke_skywalker,return_of_the_jedi
75,Leia Organa,"You do have your moments. Not many, but you have them.",The Empire Strikes Back,leia_organa,the_empire_strikes_back
76,Lando Calrissian,You look absolutely beautiful. You truly belong here with us among the clouds.,The Empire Strikes Back,lando_calrissian,the_empire_strikes_back
77,Han Solo,I’ll see you in hell!,The Empire Strikes Back,han_solo,the_empire_strikes_back
78,Obi-Wan Kenobi,"The Force will be with you, always.",A New Hope,obi_wan_kenobi,a_new_hope
79,Obi-Wan Kenobi,This is the weapon of a Jedi Knight. Not as clumsy or random as a blaster; an elegant weapon for a more civilized age.,A New Hope,obi_wan_kenobi,a_new_hope
80,Yoda,"Fear leads to anger, anger leads to hate, hate leads to suffering.",The Phantom Menace,yoda,the_phantom_menace
81,Yoda,Adventure. Excitement. A Jedi craves not these things.,The Empire Strikes Back,yoda,the_empire_strikes_back
82,Yoda,You must unlearn what you have learned.,The Empire Strikes Back,yoda,the_empire_strikes_back
83,Darth Vader,"I’ve been waiting for you, Obi-Wan. We meet again, at last.",A New Hope,darth_vader,a_new_hope
84,Leia Organa,I can’t believe he’s gone.,Return of the Jedi,leia_organa,return_of_the_jedi
85,Han Solo,"I’m out of it for a little while, everyone gets delusions of grandeur.",Return of the Jedi,han_solo,return_of_the_jedi
86,Han Solo,"Laugh it up, fuzzball.",The Empire Strikes Back,han_solo,the_empire_strikes_back
87,Emperor Palpatine,"Now, young Skywalker, you will die.",Return of the Jedi,emperor_palpatine,return_of_the_jedi
88,Han Solo,I think you just can’t bear to let a gorgeous guy like me out of your sight.,The Empire Strikes Back,han_solo,the_empire_strikes_back
89,Leia Organa,"Why, you stuck-up, half-witted, scruffy-looking Nerf herder!",The Empire Strikes Back,leia_organa,the_empire_strikes_back
