respondent_id,has_seen_any_star_wars_film,is_star_wars_fan,seen_episode_i_the_phantom_menace,seen_episode_ii_attack_of_the_clones,seen_episode_iii_revenge_of_the_sith,seen_episode_iv_a_new_hope,seen_episode_v_the_empire_strikes_back,seen_episode_vi_return_of_the_jedi,rank_episode_i_the_phantom_menace,rank_episode_ii_attack_of_the_clones,rank_episode_iii_revenge_of_the_sith,rank_episode_iv_a_new_hope,rank_episode_v_the_empire_strikes_back,rank_episode_vi_return_of_the_jedi,opinion_han_solo,opinion_luke_skywalker,opinion_princess_leia_organa,opinion_anakin_skywalker,opinion_obi_wan_kenobi,opinion_emperor_palpatine,opinion_darth_vader,opinion_lando_calrissian,opinion_boba_fett,opinion_c_3po,opinion_r2_d2,opinion_jar_jar_binks,opinion_padme_amidala,opinion_yoda,which_character_shot_first,is_familiar_with_expanded_universe,is_expanded_universe_fan,is_star_trek_fan,gender,age,household_income,education,location_census_region,total_movies_seen,has_complete_movie_ranking,opinion_score_han_solo,opinion_score_luke_skywalker,opinion_score_princess_leia_organa,opinion_score_anakin_skywalker,opinion_score_obi_wan_kenobi,opinion_score_emperor_palpatine,opinion_score_darth_vader,opinion_score_lando_calrissian,opinion_score_boba_fett,opinion_score_c_3po,opinion_score_r2_d2,opinion_score_jar_jar_binks,opinion_score_padme_amidala,opinion_score_yoda,average_character_opinion_score,has_seen_any_star_wars_film_binary,is_star_wars_fan_binary,is_familiar_with_expanded_universe_binary,is_expanded_universe_fan_binary,is_star_trek_fan_binary,movie_consumption_segment,fan_segment,has_demographic_info
3292637870.0,yes,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,1,,,,,no_movies_seen,unknown,0
3292635062.0,no,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,,,no_movies_seen,unknown,0
3292609214.0,yes,no,1,1,1,1,1,1,3.0,4.0,5.0,6.0,1.0,2.0,somewhat favorably,very favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,very favorably,neither favorably nor unfavorably (neutral),somewhat favorably,very favorably,very favorably,very favorably,somewhat favorably,very favorably,greedo,no,,no,male,18-29,"$25,000 - $49,999",bachelor degree,south atlantic,6,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.3571428571428572,1,0.0,0.0,,0.0,high_consumption,not_fan,1
3292596911.0,yes,yes,1,1,1,1,1,1,4.0,5.0,6.0,2.0,3.0,1.0,very favorably,very favorably,very favorably,somewhat favorably,very favorably,unfamiliar (n/a),very unfavorably,unfamiliar (n/a),neither favorably nor unfavorably (neutral),very favorably,very favorably,unfamiliar (n/a),very favorably,very favorably,i don't understand this question,no,,no,male,30-44,"$50,000 - $99,999",graduate degree,mountain,6,1,2.0,2.0,2.0,1.0,2.0,,-2.0,,0.0,2.0,2.0,,2.0,2.0,1.3636363636363635,1,1.0,0.0,,0.0,high_consumption,fan,1
3292587240.0,yes,yes,1,1,1,1,1,1,4.0,2.0,5.0,3.0,1.0,6.0,somewhat favorably,very favorably,very favorably,somewhat favorably,very favorably,very unfavorably,very unfavorably,very unfavorably,very unfavorably,very favorably,very favorably,very favorably,very favorably,very favorably,han,no,,no,male,18-29,,high school degree,east north central,6,1,1.0,2.0,2.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,0.7142857142857143,1,1.0,0.0,,0.0,high_consumption,fan,1
3292583038.0,yes,yes,1,1,1,1,1,1,4.0,6.0,5.0,3.0,1.0,2.0,very favorably,somewhat favorably,somewhat favorably,somewhat unfavorably,very favorably,somewhat favorably,very favorably,somewhat favorably,very favorably,somewhat unfavorably,neither favorably nor unfavorably (neutral),very unfavorably,very unfavorably,somewhat favorably,han,yes,yes,yes,male,18-29,"$0 - $24,999",some college or associate degree,west south central,6,1,2.0,1.0,1.0,-1.0,2.0,1.0,2.0,1.0,2.0,-1.0,0.0,-2.0,-2.0,1.0,0.5,1,1.0,1.0,1.0,1.0,high_consumption,fan,1
3292580516.0,yes,yes,0,0,0,1,0,0,4.0,1.0,2.0,3.0,5.0,6.0,neither favorably nor unfavorably (neutral),somewhat favorably,somewhat unfavorably,neither favorably nor unfavorably (neutral),very unfavorably,somewhat favorably,somewhat unfavorably,neither favorably nor unfavorably (neutral),somewhat favorably,neither favorably nor unfavorably (neutral),somewhat unfavorably,neither favorably nor unfavorably (neutral),somewhat unfavorably,very unfavorably,han,yes,yes,no,male,18-29,"$50,000 - $99,999",bachelor degree,new england,1,1,0.0,1.0,-1.0,0.0,-2.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-2.0,-0.35714285714285715,1,1.0,1.0,1.0,0.0,low_consumption,fan,1
3292572872.0,yes,yes,1,1,1,0,0,1,1.0,2.0,3.0,4.0,5.0,6.0,very favorably,very favorably,very favorably,very favorably,very favorably,somewhat favorably,very favorably,neither favorably nor unfavorably (neutral),somewhat favorably,very favorably,very favorably,very favorably,very favorably,very favorably,greedo,no,,no,male,18-29,,some college or associate degree,middle atlantic,4,1,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.7142857142857142,1,1.0,0.0,,0.0,medium_consumption,fan,1
3292565282.0,yes,yes,1,1,1,1,1,1,6.0,5.0,2.0,3.0,1.0,4.0,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,somewhat favorably,very favorably,very favorably,very favorably,very unfavorably,somewhat unfavorably,very favorably,han,no,,no,male,18-29,,high school degree,south atlantic,6,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,-2.0,-1.0,2.0,1.4285714285714286,1,1.0,0.0,,0.0,high_consumption,fan,1
3292562297.0,yes,yes,1,1,1,1,1,1,6.0,5.0,1.0,4.0,3.0,2.0,very favorably,somewhat favorably,very favorably,very favorably,somewhat favorably,somewhat unfavorably,very favorably,very unfavorably,very favorably,somewhat favorably,very favorably,somewhat unfavorably,very favorably,very favorably,greedo,no,,yes,male,18-29,"$50,000 - $99,999",some college or associate degree,west north central,6,1,2.0,1.0,2.0,2.0,1.0,-1.0,2.0,-2.0,2.0,1.0,2.0,-1.0,2.0,2.0,1.0714285714285714,1,1.0,0.0,,1.0,high_consumption,fan,1
3292522349.0,yes,yes,1,1,1,1,1,1,6.0,5.0,4.0,1.0,2.0,3.0,very favorably,very favorably,somewhat favorably,somewhat favorably,very favorably,neither favorably nor unfavorably (neutral),somewhat favorably,neither favorably nor unfavorably (neutral),very favorably,somewhat favorably,somewhat favorably,very unfavorably,neither favorably nor unfavorably (neutral),very favorably,han,no,,no,male,18-29,,some college or associate degree,pacific,6,1,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,-2.0,0.0,2.0,0.9285714285714286,1,1.0,0.0,,0.0,high_consumption,fan,1
3292521066.0,yes,no,1,1,1,1,1,0,3.0,4.0,5.0,1.0,2.0,6.0,neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),i don't understand this question,no,,no,male,18-29,,bachelor degree,pacific,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,,0.0,high_consumption,not_fan,1
3292511801.0,yes,yes,1,1,1,1,1,1,6.0,5.0,4.0,3.0,1.0,2.0,very favorably,very favorably,very favorably,neither favorably nor unfavorably (neutral),very favorably,very unfavorably,somewhat favorably,somewhat favorably,somewhat unfavorably,very favorably,very favorably,very unfavorably,neither favorably nor unfavorably (neutral),very favorably,greedo,yes,yes,yes,male,18-29,"$50,000 - $99,999",bachelor degree,south atlantic,6,1,2.0,2.0,2.0,0.0,2.0,-2.0,1.0,1.0,-1.0,2.0,2.0,-2.0,0.0,2.0,0.7857142857142857,1,1.0,1.0,1.0,1.0,high_consumption,fan,1
3292483200.0,yes,yes,1,1,1,1,1,1,6.0,1.0,4.0,2.0,3.0,5.0,very favorably,somewhat favorably,somewhat favorably,somewhat unfavorably,somewhat favorably,somewhat favorably,very favorably,neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),somewhat favorably,very favorably,somewhat favorably,neither favorably nor unfavorably (neutral),very favorably,han,no,,no,male,18-29,"$0 - $24,999",bachelor degree,pacific,6,1,2.0,1.0,1.0,-1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.9285714285714286,1,1.0,0.0,,0.0,high_consumption,fan,1
3292465491.0,yes,yes,1,1,1,1,1,1,1.0,2.0,6.0,3.0,4.0,5.0,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,han,no,,no,male,18-29,,,east north central,6,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1.0,0.0,,0.0,high_consumption,fan,1
3292447974.0,no,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,yes,male,18-29,"$0 - $24,999",high school degree,east south central,0,0,,,,,,,,,,,,,,,,0,,,,1.0,no_movies_seen,unknown,1
3292420123.0,yes,yes,1,1,1,1,1,1,4.0,6.0,5.0,2.0,3.0,1.0,very favorably,somewhat favorably,somewhat favorably,somewhat favorably,very favorably,somewhat favorably,somewhat favorably,somewhat favorably,very favorably,very favorably,very favorably,very unfavorably,somewhat favorably,very favorably,greedo,yes,no,no,male,18-29,"$100,000 - $149,999",some college or associate degree,south atlantic,6,1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,-2.0,1.0,2.0,1.2142857142857142,1,1.0,1.0,0.0,0.0,high_consumption,fan,1
3292384040.0,yes,yes,1,1,1,1,1,1,6.0,5.0,4.0,2.0,3.0,1.0,very favorably,very favorably,very favorably,somewhat favorably,very favorably,very unfavorably,very unfavorably,somewhat favorably,somewhat unfavorably,very favorably,very favorably,very favorably,very favorably,very favorably,greedo,no,,no,male,18-29,,some college or associate degree,middle atlantic,6,1,2.0,2.0,2.0,1.0,2.0,-2.0,-2.0,1.0,-1.0,2.0,2.0,2.0,2.0,2.0,1.0714285714285714,1,1.0,0.0,,0.0,high_consumption,fan,1
3292380493.0,yes,yes,1,1,1,1,1,1,6.0,5.0,4.0,2.0,1.0,3.0,very favorably,somewhat favorably,neither favorably nor unfavorably (neutral),very unfavorably,very unfavorably,very unfavorably,very favorably,very favorably,somewhat favorably,very unfavorably,somewhat unfavorably,very unfavorably,very unfavorably,very favorably,han,yes,no,no,male,18-29,,some college or associate degree,middle atlantic,6,1,2.0,1.0,0.0,-2.0,-2.0,-2.0,2.0,2.0,1.0,-2.0,-1.0,-2.0,-2.0,2.0,-0.21428571428571427,1,1.0,1.0,0.0,0.0,high_consumption,fan,1
3292376985.0,yes,yes,1,1,1,1,1,1,4.0,6.0,5.0,2.0,1.0,3.0,very favorably,very favorably,very favorably,very unfavorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,unfamiliar (n/a),very unfavorably,very favorably,han,yes,yes,yes,male,18-29,"$150,000+",some college or associate degree,east north central,6,1,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,-2.0,2.0,1.3846153846153846,1,1.0,1.0,1.0,1.0,high_consumption,fan,1
3292366792.0,yes,no,1,1,1,1,1,1,4.0,3.0,5.0,6.0,2.0,1.0,neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),somewhat favorably,unfamiliar (n/a),somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat unfavorably,unfamiliar (n/a),somewhat favorably,i don't understand this question,no,,no,male,30-44,"$0 - $24,999",high school degree,new england,6,1,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,-1.0,,1.0,0.5,1,0.0,0.0,,0.0,high_consumption,not_fan,1
3292339379.0,yes,yes,1,1,1,1,1,1,6.0,5.0,4.0,2.0,1.0,3.0,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very unfavorably,very favorably,very favorably,han,yes,yes,yes,male,30-44,"$50,000 - $99,999",some college or associate degree,west north central,6,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,1.7142857142857142,1,1.0,1.0,1.0,1.0,high_consumption,fan,1
3292330840.0,yes,no,1,1,1,1,1,1,6.0,1.0,2.0,3.0,4.0,5.0,somewhat unfavorably,somewhat unfavorably,somewhat unfavorably,somewhat unfavorably,somewhat unfavorably,somewhat unfavorably,somewhat unfavorably,somewhat unfavorably,somewhat unfavorably,somewhat unfavorably,somewhat unfavorably,somewhat unfavorably,somewhat unfavorably,somewhat unfavorably,han,no,,no,male,18-29,,,middle atlantic,6,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0.0,0.0,,0.0,high_consumption,not_fan,1
3292318652.0,yes,no,0,1,1,0,0,0,6.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,,,,han,no,,no,male,18-29,"$50,000 - $99,999",high school degree,mountain,2,1,,,,,,,,,,,,,,,,1,0.0,0.0,,0.0,low_consumption,not_fan,1
3292297848.0,no,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,yes,male,30-44,"$50,000 - $99,999",graduate degree,east south central,0,0,,,,,,,,,,,,,,,,0,,,,1.0,no_movies_seen,unknown,1
3292290677.0,yes,yes,1,1,1,1,1,1,6.0,3.0,4.0,1.0,2.0,5.0,very favorably,very favorably,very favorably,very favorably,very favorably,somewhat favorably,somewhat favorably,neither favorably nor unfavorably (neutral),very favorably,very favorably,very favorably,very unfavorably,very favorably,very favorably,han,no,,no,male,30-44,"$150,000+",graduate degree,east north central,6,1,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,-2.0,2.0,2.0,1.4285714285714286,1,1.0,0.0,,0.0,high_consumption,fan,1
3292281095.0,yes,yes,1,1,1,1,1,1,3.0,2.0,1.0,4.0,6.0,5.0,somewhat favorably,neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),very favorably,somewhat favorably,neither favorably nor unfavorably (neutral),somewhat favorably,neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),neither favorably nor unfavorably (neutral),greedo,no,,no,male,18-29,"$0 - $24,999",bachelor degree,west north central,6,1,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,1,1.0,0.0,,0.0,high_consumption,fan,1
3292279889.0,yes,yes,1,1,1,1,1,1,2.0,4.0,5.0,1.0,6.0,3.0,very favorably,somewhat favorably,very favorably,somewhat favorably,very favorably,somewhat unfavorably,very unfavorably,neither favorably nor unfavorably (neutral),somewhat unfavorably,neither favorably nor unfavorably (neutral),somewhat favorably,neither favorably nor unfavorably (neutral),somewhat favorably,somewhat favorably,han,no,,no,male,18-29,,some college or associate degree,pacific,6,1,2.0,1.0,2.0,1.0,2.0,-1.0,-2.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.5,1,1.0,0.0,,0.0,high_consumption,fan,1
3292264069.0,yes,yes,1,1,1,1,1,1,6.0,3.0,5.0,1.0,4.0,2.0,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,neither favorably nor unfavorably (neutral),somewhat favorably,somewhat favorably,han,yes,no,yes,male,30-44,"$50,000 - $99,999",bachelor degree,middle atlantic,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9285714285714286,1,1.0,1.0,0.0,1.0,high_consumption,fan,1
3292257520.0,yes,yes,1,1,1,1,1,1,4.0,5.0,6.0,3.0,2.0,1.0,very favorably,very favorably,very favorably,somewhat favorably,very favorably,somewhat unfavorably,very favorably,somewhat favorably,very favorably,very favorably,very favorably,neither favorably nor unfavorably (neutral),very favorably,very favorably,greedo,yes,yes,yes,male,30-44,"$0 - $24,999",high school degree,west north central,6,1,2.0,2.0,2.0,1.0,2.0,-1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.5,1,1.0,1.0,1.0,1.0,high_consumption,fan,1
3292249492.0,yes,yes,1,1,1,1,1,1,5.0,6.0,2.0,3.0,4.0,1.0,very favorably,very favorably,very favorably,neither favorably nor unfavorably (neutral),very favorably,somewhat favorably,very favorably,very favorably,neither favorably nor unfavorably (neutral),very favorably,very favorably,very unfavorably,neither favorably nor unfavorably (neutral),very favorably,han,no,,yes,male,30-44,"$100,000 - $149,999",graduate degree,middle atlantic,6,1,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,-2.0,0.0,2.0,1.2142857142857142,1,1.0,0.0,,1.0,high_consumption,fan,1
3292222729.0,yes,yes,1,1,1,1,1,1,6.0,5.0,4.0,2.0,1.0,3.0,very favorably,very favorably,very favorably,somewhat favorably,very favorably,somewhat favorably,very favorably,very favorably,very favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,very favorably,han,yes,yes,no,male,30-44,"$100,000 - $149,999",graduate degree,pacific,6,1,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.5714285714285714,1,1.0,1.0,1.0,0.0,high_consumption,fan,1
3292221635.0,yes,yes,1,1,1,1,1,1,5.0,6.0,4.0,2.0,1.0,3.0,very favorably,very favorably,very favorably,somewhat favorably,very favorably,somewhat favorably,somewhat favorably,somewhat favorably,very favorably,somewhat unfavorably,somewhat favorably,very unfavorably,somewhat favorably,neither favorably nor unfavorably (neutral),greedo,yes,yes,no,male,18-29,"$25,000 - $49,999",bachelor degree,west north central,6,1,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,-1.0,1.0,-2.0,1.0,0.0,0.9285714285714286,1,1.0,1.0,1.0,0.0,high_consumption,fan,1
3292218251.0,yes,yes,1,1,1,1,1,1,6.0,5.0,4.0,2.0,1.0,3.0,very favorably,very favorably,very favorably,somewhat favorably,very favorably,somewhat favorably,very favorably,somewhat favorably,somewhat favorably,very favorably,very favorably,very unfavorably,very favorably,very favorably,han,yes,yes,yes,male,18-29,"$150,000+",bachelor degree,pacific,6,1,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,-2.0,2.0,2.0,1.4285714285714286,1,1.0,1.0,1.0,1.0,high_consumption,fan,1
3292214307.0,yes,yes,1,1,1,1,1,1,5.0,6.0,4.0,3.0,2.0,1.0,very favorably,very favorably,very favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,neither favorably nor unfavorably (neutral),somewhat unfavorably,somewhat favorably,han,yes,no,no,male,18-29,"$25,000 - $49,999",high school degree,new england,6,1,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,high_consumption,fan,1
3292210606.0,yes,yes,1,1,1,1,1,1,6.0,5.0,4.0,2.0,1.0,3.0,very favorably,very favorably,very favorably,somewhat favorably,very favorably,somewhat favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very unfavorably,very favorably,very favorably,han,no,,no,male,18-29,,some college or associate degree,west north central,6,1,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,1.5714285714285714,1,1.0,0.0,,0.0,high_consumption,fan,1
3292202220.0,no,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,no,male,18-29,"$0 - $24,999",high school degree,pacific,0,0,,,,,,,,,,,,,,,,0,,,,0.0,no_movies_seen,unknown,1
